period;VOLU;TEMP;SATU;DO;SALI;PH;BEDR;BOUL;COBB;COAR;FINE;SAND;SEDI;MACR;TREE;DEAD;ROOT;SHAD;MVEG
dry;14.94;26.9;74.8;5.39;0.32;9.28;90;5;0;5;0;80;20;0;5;5;0;10;0
dry;117.17;26.7;72.6;5.29;0.3;9.56;75;10;0;10;5;90;10;5;5;15;5;5;5
dry;8.98;27.6;52.9;3.43;0.33;8.38;50;50;0;0;0;50;50;0;5;10;5;10;10
dry;22.03;25.8;19.3;1.19;0.25;7.86;0;15;0;0;0;75;15;0;25;30;60;80;75
dry;36.22;29.1;94.8;7.05;0.22;8.29;20;10;10;20;20;80;20;0;15;35;20;30;20
dry;131.85;27.7;67.5;5.06;0.23;8.11;10;20;10;0;0;75;15;0;50;70;60;60;80
dry;8.37;33.4;124.2;8.39;0.26;8.9;30;15;0;0;0;40;60;20;0;20;10;0;0
dry;9.75;33.8;141;9.94;0.36;9.11;80;25;10;20;10;90;10;0;5;30;0;10;20
dry;7.34;32.3;24.1;1.51;0.31;8.5;20;10;0;10;0;95;5;0;0;0;0;0;0
dry;78.7;31.9;132.4;9.39;0.24;9.23;60;40;10;5;5;95;5;0;0;30;5;15;10
dry;28.19;32.8;125.6;8.72;0.28;9.13;15;25;5;0;0;30;70;0;5;5;10;15;20
dry;6.75;24.5;131.1;10.52;0.35;7.42;5;20;5;0;0;70;30;0;20;40;15;70;50
dry;5.14;26.2;98.4;7.93;0.32;7.68;10;10;0;0;0;95;5;0;0;10;0;5;0
dry;9.02;28;105.4;7.47;0.35;8.66;40;20;0;30;25;90;10;0;0;30;0;0;10
dry;1560.9;27.8;96;7.27;0.23;8.13;40;30;5;0;0;90;10;10;45;60;30;50;60
dry;174.16;28.3;106;8.28;0.23;8.45;60;40;10;0;0;95;5;0;20;40;10;40;35
dry;182.23;27.2;72.3;5;0.21;7.11;0;15;0;0;0;90;10;10;50;50;60;70;85
dry;15.41;31.8;156.1;11.37;0.3;8.95;20;20;30;50;50;80;20;0;0;20;0;0;30
dry;4.56;31.8;109.1;7.39;0.28;8.62;0;65;15;0;0;90;10;0;10;20;5;30;40
dry;11.53;30.6;123.7;9.79;0.26;8.84;0;60;10;0;0;95;5;0;0;10;0;0;10
dry;58.78;31;135.1;9.84;0.28;9.04;75;50;40;10;30;95;5;0;5;10;0;30;15
dry;2.42;36;207.9;14.53;0.54;10.21;80;40;20;0;0;95;5;0;0;0;0;0;0
flowing;8339.9;25.2;91.8;7.3;0.12;7.6;10;10;10;10;20;90;10;30;15;25;25;10;100
flowing;5207.7;25.5;94.1;7.4;0.12;7.6;0;20;10;20;30;90;10;15;5;20;15;15;80
flowing;18076.3;26.6;89.5;6.9;0.12;7.6;0;0;0;0;0;100;0;20;10;30;10;40;35
flowing;14594.1;28.3;87.2;6.6;0.12;7.5;20;20;15;20;30;80;20;50;15;30;40;45;75
flowing;5879.6;27.7;86.5;6.5;0.12;7.5;0;15;20;30;40;70;30;30;15;20;30;45;95
flowing;12547.5;28.3;83.1;6.3;0.12;7.5;0;15;30;45;30;90;10;10;10;15;20;90;100
flowing;5979.6;24.2;103.5;8.4;0.12;7.8;0;30;35;40;50;95;5;15;10;15;20;60;90
flowing;4151.1;25.4;77.9;6.3;0.12;7.3;10;20;30;40;45;100;0;30;20;40;30;40;100
flowing;11881.9;25.6;73.4;6;0.12;7.7;0;0;30;50;60;70;30;60;15;40;30;60;85
flowing;10285.5;27.1;82.6;6.4;0.12;8.6;10;20;15;0;0;20;80;10;10;50;60;30;100
flowing;59251.2;28.5;85.8;6.6;0.12;8.6;50;20;5;0;0;100;0;10;10;20;20;5;20
flowing;8589.2;28.7;88.3;6.6;0.12;8.5;5;20;10;0;0;100;0;10;45;20;50;40;55
flowing;25779.2;28.1;84.4;6.39;0.12;8.3;25;10;10;15;10;80;20;0;20;40;65;60;100
flowing;33888.7;27.3;92.5;7;0.12;7.9;10;10;5;5;0;60;40;5;20;30;70;50;100
flowing;9583.5;27.8;82.6;6.4;0.12;7.9;0;0;0;0;0;50;50;5;50;60;70;60;100
flowing;30176.6;27.6;74.4;5.8;0.12;7.9;85;20;15;10;10;85;15;30;60;70;60;40;85
flowing;12056.7;29.5;85.6;6.3;0.12;8.2;50;20;15;20;5;70;30;40;20;15;50;25;70
flowing;44307.2;30.4;81.4;6.1;0.12;8.4;20;30;10;5;5;100;0;30;40;40;60;20;90
flowing;26682.2;30;76.8;5.7;0.12;8.1;50;30;20;40;30;100;0;20;30;30;90;30;100
flowing;16380.3;30.1;78;5.7;0.12;8.1;35;10;10;0;0;100;0;5;30;40;50;60;85
flowing;14455.2;27.1;103.2;8.1;0.13;7.9;70;10;0;0;0;100;0;20;70;65;90;20;90
flowing;4023.9;27.1;89.5;7;0.13;8;90;70;0;20;20;100;0;5;15;50;80;25;90
flowing;8972.8;27;83.2;6.5;0.13;8.1;85;15;0;0;0;100;0;25;20;20;30;10;80
