predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0.88;0.02;3.41;3.51;88.47;0;3.53;0.18
Ch;0;6.2;0.31;43.92;0;0;0;2.85;46.71
Co;0.03;0.57;18.14;5.32;0;0.15;74.67;0.55;0.57
Hm;0;0;0;0;0;0;0;23.08;76.92
Lp;0;9.15;24.4;38.11;0;3.05;0;16.15;9.14
On;0;6.02;0.03;81.9;0;0;0;3.01;9.03
Pc;6.94;9.07;2.02;62.48;0.58;6.94;0;1.39;10.58
Pf;0;0;0;9.09;0;0;0;75.76;15.15
Pv;0;0;0;0;0;0;0;0;100
Sh;0.79;0.47;0.95;57.74;0.39;0;0;15.99;23.67
Sn;0;0;0;0.03;0;0;0;0;99.97
Sp;1.97;12.4;25.3;45.39;1.13;1.83;0;2.73;9.25
