predator;Det;Col;Pla;Pre;Shr;Fil;Scr;Fis;Ter
Ab;0.76;2.83;5.45;0.69;0.75;0.03;89.18;0.004;0.32
Co;0.03;98.25;0.006;0.001;0.02;1.1;0.6;0.0004;0
On;0.009;99.83;0.15;0.0002;0.004;0.0005;0.01;0.0002;0
Pf;5.51;58.19;19;6.77;6.31;0.43;2.8;0;0.99
Sp;7.09;10.69;76.27;3;1;0.14;0.8;0;1
He;4.44;57.73;4.95;5.1;14.8;0.2;0;0;12.76
Pc;3.3;95.46;0.18;0.32;0.49;0.24;0.01;0;0
Ch;5.76;0.62;92.79;0;0.19;0.01;0;0;0.62
Hm;0.05;0.72;0.008;0.99;0;0;0.35;97.88;0
Sh;8.4;36.75;48.26;1.59;3.48;1.53;0;0;0
Cb;1.77;96.29;0.12;0;1.55;0.26;0;0;0
Lp;5.02;67.22;3.59;14.35;0;0;9.81;0;0
Hy;96.29;0.23;1.16;0;0;0;0;2.32;0
Sn;99.94;0.05;0.009;0;0;0;0;0;0
Cm;1.23;98.77;0;0;0;0;0;0;0
Pv;100;0;0;0;0;0;0;0;0
